ID	Multi	Title	Time	Mentors	Type	Tags
1	Yes	Categorise words by part-of-speech	72	ftyers,	research	pos,dictionary
2	Yes	Lemmatise words by frequency	72	ftyers,	research	lemmatise,dictionary
3	No	Intersection of ATT format transducers 	120	ftyers,unhammer	code	python
4	Yes	Categorise words by inflectional paradigm	72	ftyers,	research	pos,dictionary,grammar
5	Yes	Extract (scrape) inflections from Wiktionary	72	ftyers,	code	python,scraping,parsing
6	No	Language detection in apertium-apy	120	ftyers,	code	python
7	No	Localised 'available languages' in apertium-apy	120	ftyers,jnw	code	python
8	Yes	Hand-annotate 500 words of text	120	ftyers	research	pos,text
9	No	Abstract formatting for the simple-html interface	120	ftyers	code,interface	js,css
10	No	Interface behaviour for language guessing	120	ftyers	code,interface	js,css
11	No	Use external language detection in simple-html	120	ftyers	code,interface	js
12	No	Wiktionary language-page count calculator	120	ftyers	code	python
13	No	Bison syntax-tree visualisation	120	ftyers,mlforcada	code	c++,c,bison,parsing
14	No	Document how to install WikiBhasha	72	ftyers	documentation	php,mediawiki
15	No	Intersection of two transducers in lttoolbox	120	ftyers,unhammer	code	c++
16	No	Front end to intersection in lttoolbox (lt-trim)	72	ftyers,unhammer	code	c++
17	Yes	Extract translations from Wiktionary	72	ftyers	code	python
18	Yes	Extract paradigm sketches from a dictionary	72	ftyers	code	python,scraping,parsing
19	Yes	Morphologically analyse and align parallel corpus	120	ftyers	research,code	bilingual,corpus,text
20	Yes	Hand-annotate 250 words of text	72	ftyers,mlforcada	research	pos,text,grammar
21	Yes	Extract parallel corpus from web site	120	ftyers	code	python
22	Yes	Sentence align parallel corpus	120	ftyers	research,code	bilingual,corpus,text
23	Yes	Hand-correct the spelling of 50 words	120	ftyers	quality	spellchecking
24	Yes	Document how to install a voikko spellchecker for LibreOffice	72	ftyers,flammie,jnw	documentation	spellchecking,voikko,libreoffice
25	No	Document how to install a voikko spellchecker for libenchant	72	ftyers,flammie,jnw	documentation	spellchecking,voikko,enchant
26	Yes	Convert paradigm tables to speling format	72	ftyers	research	grammar,linguistics
27	Yes	Check output of a word-aligner to make a bilingual dictionary	120	ftyers	quality	bilingual,corpus,text
28	Yes	Manually create a transfer lexicon from a word list in .dix format	120	ftyers	research	bilingual,text,dictionary
