Aaliyah (np) 	Aaliyah (np.ant) 
a	and (cnjcoo) 
Aaron (np) 	Aaron (np.ant) 
â	as (cnjcoo) 
abacws	abacus (n) 
Abbey (np) 	Abbey (np.ant) 
Abbie (np) 	Abbie (np.ant) 
Abbi (np) 	Abbi (np.ant) 
Abby (np) 	Abby (np.ant) 
Abdullah (np) 	Abdullah (np.ant) 
Abdul (np) 	Abdul (np.ant) 
Abercynon	Abercynon (np.top) 
aber	estuary (n) 
Abergwaun	Fishguard (np.top) 
Abertawe	Swansea (np.top) 
Aberteifi	Cardigan (np.top) 
aberth	sacrifice (n) 
aberthu	sacrifice (vblex) 
aberu	flow#_into (vblex) 
Aberystwyth	Aberystwyth (np.top) 
Abidjan	Abidjan (np.top) 
Abigail (np) 	Abigail (np.ant) 
Abi (np) 	Abi (np.ant) 
Abril (np) 	Abril (np.ant) 
absennol	absent (adj) 
absennu	backbite (vblex) 
absenoldeb	absence (n) 
absoliwt	absolute (adj) 
academaidd	academic (adj) 
academi	academy (n) 
academydd	academic (n) 
AC	AM (n) 
ac_ati	and_so_on (adv) 
ac_eithrio	with_the_exception_of (pr) 
acen	accent (n) 
acennu	accentuate (vblex) 
acer	acre (n) 
achlesu	succour (vblex) 
achlysuraeth	occasionalism (n) 
achlysur	occasion (n) 
achlysurol	occasional (adj) 
achlysuro	occasion (vblex) 
achos	because (cnjsub) 
achos	case (n) 
achos	cause (n) 
achosiaeth	causality (n) 
achosiant	causation (n) 
achosi	cause (vblex) 
achrededig	accredited (adj) 
achrediad	accreditation (n) 
achub#_ar	take#_advantage_of (vblex) 
achubiad	deliverance (n) 
achubiad	rescue (n) 
achub	save (vblex) 
achwyn	complain (vblex) 
achwynydd	plaintiff (n) 
achyddiaeth	genealogy (n) 
aciwt	acute (adj) 
actio	act (vblex) 
actor	actor (n) 
actores	actress (n) 
acw	over_there (adv) 
adain	wing (n) 
adalwad	callback (n) 
adalw	retrieve (vblex) 
Adam (np) 	Adam (np.ant) 
Adams (np) 	Adams (np.cog) 
adara	catch#_birds (vblex) 
adarfogi	rearm (vblex) 
adargraffu	reprint (vblex) 
adborth	feedback (n) 
adbryniad	redemption (n) 
adchwyddo	reinflate (vblex) 
ad-daliad	repayment (n) 
ad-dalu	repay (vblex) 
addasadwy	customisable (adj) 
addas	appropriate (adj) 
addasedig	custom (adj) 
addasiad	adaptation (n) 
addasiad	modification (n) 
addasrwydd	appropriateness (n) 
addasu	adapt (vblex) 
addaswr	adapter (n) 
addasydd	adapter (n) 
addasydd	modifier (n) 
