AAA	BBB	Task	Title	Quantity	Extra mentors
Belarusian		1	Categorise words by part-of-speech	15	quirille
Aromanian		1	Categorise words by part-of-speech	15	
Avar		1	Categorise words by part-of-speech	15	
Frisian		1	Categorise words by part-of-speech	15	unhammer
Corsican		1	Categorise words by part-of-speech	15	mlforcada
Lithuanian		1	Categorise words by part-of-speech	15	jimregan
Bengali		1	Categorise words by part-of-speech	15	
Greek		1	Categorise words by part-of-speech	15	
Slovak		1	Categorise words by part-of-speech	15	jimregan
Abkhaz		1	Categorise words by part-of-speech	15	jnw
Khmer		1	Categorise words by part-of-speech	15	
Luxembourgish		1	Categorise words by part-of-speech	15	unhammer
Hindi		1	Categorise words by part-of-speech	15	nvohra
Azerbaijani		1	Categorise words by part-of-speech	15	jnw
					
					
					
					
					
					
Azerbaijani		2	Lemmatise words by frequency	15	jnw
Hindi		2	Lemmatise words by frequency	15	nvohra
Luxembourgish		2	Lemmatise words by frequency	15	unhammer
Abkhaz		2	Lemmatise words by frequency	15	jnw
Lithuanian		2	Lemmatise words by frequency	15	jimregan
Corsican		2	Lemmatise words by frequency	15	mlforcada
Belarusian		2	Lemmatise words by frequency	15	quirille
Aromanian		2	Lemmatise words by frequency	15	
Avar		2	Lemmatise words by frequency	15	
Frisian		2	Lemmatise words by frequency	15	unhammer
Bengali		2	Lemmatise words by frequency	15	
Greek		2	Lemmatise words by frequency	15	
Slovak		2	Lemmatise words by frequency	15	jimregan
					
Azerbaijani		4	Categorise words by inflectional paradigm	25	jnw
Hindi		4	Categorise words by inflectional paradigm	25	nvohra
Luxembourgish		4	Categorise words by inflectional paradigm	25	unhammer
Abkhaz 		4	Categorise words by inflectional paradigm	25	jnw
Greek		4	Categorise words by inflectional paradigm	25	
Bengali		4	Categorise words by inflectional paradigm	25	
Lithuanian		4	Categorise words by inflectional paradigm	25	jimregan
Corsican		4	Categorise words by inflectional paradigm	25	mlforcada
Frisian		4	Categorise words by inflectional paradigm	25	unhammer
Russian		4	Categorise words by inflectional paradigm	25	quirille
Belarusian		4	Categorise words by inflectional paradigm	25	quirille
Aromanian		4	Categorise words by inflectional paradigm	25	
Avar		4	Categorise words by inflectional paradigm	25	
Slovak		4	Categorise words by inflectional paradigm	25	jimregan
					
Slovak		5	Extract (scrape) inflections from Wiktionary	5	jimregan
Luxembourgish		5	Extract (scrape) inflections from Wiktionary	5	unhammer
Bulgarian		5	Extract (scrape) inflections from Wiktionary	5	fpetkovski,hperadin
Faroese		5	Extract (scrape) inflections from Wiktionary	5	unhammer
Greek		5	Extract (scrape) inflections from Wiktionary	5	
Swedish		5	Extract (scrape) inflections from Wiktionary	5	unhammer
Khmer		5	Extract (scrape) inflections from Wiktionary	5	
Thai		5	Extract (scrape) inflections from Wiktionary	5	
Chinese		5	Extract (scrape) inflections from Wiktionary	5	
Lao		5	Extract (scrape) inflections from Wiktionary	5	
Burmese		5	Extract (scrape) inflections from Wiktionary	5	
Vietnamese		5	Extract (scrape) inflections from Wiktionary	5	
					
Avar		18	Extract paradigm sketches from a dictionary	5	
					
Macedonian	Bulgarian	19	Morphologically analyse and align parallel corpus	1	fpetkovski,hperadin
Albanian	English	19	Morphologically analyse and align parallel corpus	1	fpetkovski,hperadin
Swedish	Danish	19	Morphologically analyse and align parallel corpus	1	unhammer
Albanian	Macdonian	19	Morphologically analyse and align parallel corpus	1	fpetkovski,hperadin
Czech	Polish	19	Morphologically analyse and align parallel corpus	1	jimregan
Serbo-Croatian	Macedonian	19	Morphologically analyse and align parallel corpus	1	fpetkovski,hperadin
Albanian	Serbo-Croatian	19	Morphologically analyse and align parallel corpus	1	fpetkovski,hperadin
					
English		8	Hand-annotate 500 words of text	50	mlforcada
English		20	Hand-annotate 250 words of text	20	mlforcada
Bulgarian		8	Hand-annotate 500 words of text	50	fpetkovski,hperadin
Bulgarian		20	Hand-annotate 250 words of text	20	fpetkovski,hperadin
Macedonian		8	Hand-annotate 500 words of text	50	fpetkovski,hperadin
Macedonian		20	Hand-annotate 250 words of text	20	fpetkovski,hperadin
					
					
Ukrainian	Russian	21	Extract parallel corpus from web site	1	quirille
Ukrainian	Russian	22	Sentence align parallel corpus	1	quirille
Aromanian	Macedonian	21	Extract parallel corpus from web site	1	fpetkovski
Aromanian	Macedonian	22	Sentence align parallel corpus	1	fpetkovski
					
Belarusian		26	Convert paradigm tables to spelling format	5	quirille
					
Albanian	English	27	Check output of a word-aligner to make a bilingual dictionary	50	fpetkovski,hperadin
Serbo-Croatian	Macedonian	27	Check output of a word-aligner to make a bilingual dictionary	50	fpetkovski,hperadin
Albanian	Macedonian	27	Check output of a word-aligner to make a bilingual dictionary	50	fpetkovski,hperadin
					
Czech	Slovak	28	Manually create a transfer lexicon from a word list in .dix format	40	jimregan
Dutch	Frisian	28	Manually create a transfer lexicon from a word list in .dix format	40	unhammer
Serbo-Croatian	Russian	28	Manually create a transfer lexicon from a word list in .dix format	40	fpetkovski,hperadin
Avar	Russian	28	Manually create a transfer lexicon from a word list in .dix format	40	
Macedonian	Bulgarian	28	Manually create a transfer lexicon from a word list in .dix format	40	fpetkovski,hperadin
Swedish	Danish	28	Manually create a transfer lexicon from a word list in .dix format	40	unhammer,
Albanian	Macedonian	28	Manually create a transfer lexicon from a word list in .dix format	40	fpetkovski,hperadin
