Aablina (np) 	Aablina (np.ant) 
Aaliyah (np) 	Aaliyah (np.ant) 
Aaron (np) 	Aaron (np.ant) 
Aarón (np) 	Aarón (np.ant) 
Abaco (np) 	Abaco (np.ant) 
abacus	ábaco (n.m) 
Abad (np) 	Abad (np.cog.mf) 
Abagail (np) 	Abagail (np.ant) 
abandon	abandonar (vblex) 
abandoned	abandonado (adj) 
abandonment	abandono (n.m) 
Abascal (np) 	Abascal (np.cog.mf) 
abbey	abadía (n.f) 
Abbey (np) 	Abbey (np.ant) 
Abbie (np) 	Abbie (np.ant) 
Abbigail (np) 	Abbigail (np.ant) 
abbot	abad (n) 
abbot	abad (n.GD) 
Abbott (np) 	Abbott (np.cog.mf) 
abbreviate	abreviar (vblex) 
abbreviation	abreviatura (n.f) 
Abby (np) 	Abby (np.ant) 
Abdala (np) 	Abdala (np.ant) 
Abdel (np) 	Abdel (np.ant) 
Abdías (np) 	Abdías (np.ant) 
abdicate	abdicar (vblex) 
abdication	abdicación (n.f) 
Abdiel (np) 	Abdiel (np.ant) 
abdomen	abdomen (n.m) 
abdominal	abdominal (adj.mf) 
Abdón (np) 	Abdón (np.ant) 
Abdo (np) 	Abdo (np.ant) 
abduction	abducción (n.f) 
Abdul_Hamid_II (np) 	Abdul_Hamid_II (np.ant) 
Abdullah_Ahmad_Badawi (np) 	Abdullah_Ahmad_Badawi (np.ant) 
Abdullah_Gül (np) 	Abdullah_Gül (np.ant) 
Abdullah (np) 	Abdullah (np.ant) 
Abdulla (np) 	Abdulla (np.ant) 
Abdul (np) 	Abdul (np.ant) 
Abélard (np) 	Abélard (np.ant) 
Abelardo (np) 	Abelardo (np.ant) 
Abele (np) 	Abele (np.ant) 
Abelie (np) 	Abelie (np.ant) 
Abellán (np) 	Abellán (np.cog.mf) 
Abella (np) 	Abella (np.ant) 
Abelle (np) 	Abelle (np.ant) 
Abel (np) 	Abel (np.ant) 
Abelson (np) 	Abelson (np.cog.mf) 
Abenamar (np) 	Abenamar (np.ant) 
Aberardo (np) 	Aberardo (np.ant) 
Abercio (np) 	Abercio (np.ant) 
aberrant	aberrante (adj.mf) 
aberration	aberración (n.f) 
abet	instigar (vblex) 
abhor	aborrecer (vblex) 
abide	soportar (vblex) 
Abidjan (np) 	Abiyán (np.loc.m) 
Abigail (np) 	Abigail (np.ant) 
Abigale (np) 	Abigale (np.ant) 
Abigayle (np) 	Abigayle (np.ant) 
Abilio (np) 	Abilio (np.ant) 
ability	habilidad (n.f) 
a_billion	un_billón (num.mf) 
Abinahil (np) 	Abinahil (np.ant) 
Abi (np) 	Abi (np.ant) 
abiogenesis	abiogénesis (n.f) 
abiogenesis (n.ND) 	abiogénesis (n.f.sp) 
abiotic	abiótico (adj) 
a_bird_in_the_hand_is_worth_two_in_the_bush	más_vale_pájaro_en_mano_que_ciento_volando (ij) 
a_bit	un_poco (adv) 
abject	abyecto (adj) 
abjuration	abjuración (n.f) 
abjure	abjurar (vblex) 
ablation	ablación (n.f) 
ablative	ablativo (n.m) 
able	capaz (adj.mf) 
abnegation	abnegación (n.f) 
abnormal	anormal (adj.mf) 
abnormality	anormalidad (n.f) 
abnormally	anormalmente (adv) 
aboard	a_bordo (adv) 
abolish	abolir (vblex) 
abominably	abominablemente (adv) 
abomination	abominación (n.f) 
abort	abortar (vblex) 
abortion	aborto (n.m) 
abound	abundar (vblex) 
about	acerca_de (pr) 
about	aproximadamente (adv) 
about	sobre (pr) 
above_all_else	por_encima_de_todo (adv) 
above_all	sobre_todo (adv) 
above_board	honestamente (adv) 
above	encima (adv) 
above	por_encima_de (pr) 
Abraám (np) 	Abraám (np.ant) 
Abraham (np) 	Abraham (np.ant) 
Abrahán (np) 	Abrahán (np.ant) 
Abram (np) 	Abram (np.ant) 
Abramo (np) 	Abramo (np.ant) 
abrasion	abrasión (n.f) 
Abril (np) 	Abril (np.ant) 
abroad	en_el_extranjero (adv) 
abrogation	abrogación (n.f) 
abruptly	abruptamente (adv) 
Absalón (np) 	Absalón (np.ant) 
abscissa	abscisa (n.f) 
absence	ausencia (n.f) 
absence_makes_the_heart_grow_fonder	la_ausencia_es_al_amor_lo_que_al_fuego_el_aire (ij) 
absent	ausente (adj.mf) 
absenteeism	absentismo (n.m) 
absent-mindedly	distraídamente (adv) 
Absolon (np) 	Absolon (np.ant) 
absolute	absoluto (adj) 
absolutely	absolutamente (adv) 
absolutely_not	en_absoluto (adv) 
absolution	absolución (n.f) 
absolutism	absolutismo (n.m) 
absolutive	absolutivo (adj) 
absolve	absolver (vblex) 
absorb	absorber (vblex) 
absorbance	absorbancia (n.f) 
absorbent	absorbente (adj.mf) 
absorber	absorbedor (n.m) 
absorptiometry	absorciometría (n.f) 
absorption	absorción (n.f) 
abstain	abstener (vblex) 
abstention	abstención (n.f) 
abstentionism	abstencionismo (n.m) 
abstentionist	abstencionista (adj.mf) 
abstentionist	abstencionista (n.mf) 
abstinence	abstinencia (n.f) 
abstract	abstracto (adj) 
abstraction	abstracción (n.f) 
absurd	absurdo (adj) 
absurd	disparatado (adj) 
absurdly	absurdamente (adv) 
Abu_Dahdah (np) 	Abu_Dahdah (np.ant) 
Abud (np) 	Abud (np.ant) 
abundance	abundancia (n.f) 
abundant	abundante (adj.mf) 
abundantly	abundantemente (adv) 
Abundio (np) 	Abundio (np.ant) 
abuse	abusar (vblex) 
abuse	abuso (n.m) 
abuse	insultar (vblex) 
abuse	maltratar (vblex) 
abuse#_of_power	abuso#_de_poder (n.m) 
abusive	abusivo (adj) 
abysmal	abismal (adj.mf) 
abysmal	pésimo (adj) 
abyss	abismo (n.m) 
abyssal	abisal (adj.mf) 
Abyssinia (np) 	Abisinia (np.loc.f) 
Acacio (np) 	Acacio (np.ant) 
academic	académico (adj) 
academism	academicismo (n.m) 
academy	academia (n.f) 
acanthus	acanto (n.m) 
acarus	ácaro (n.m) 
accelerate	acelerar (vblex) 
acceleration	aceleración (n.f) 
accelerator	acelerador (n.m) 
accelerometer	acelerómetro (n.m) 
accent	acento (n.m) 
accentual	acentual (adj.mf) 
accentuation	acentuación (n.f) 
acceptable	aceptable (adj.mf) 
accept	aceptar (vblex) 
acceptance	aceptación (n.f) 
acceptor	aceptor (n.m) 
access	acceder (vblex) 
access	acceso (n.m) 
accessibility	accesibilidad (n.f) 
accessible	accesible (adj.mf) 
accession	accesión (n.f) 
accident	accidente (n.m) 
accidental	accidental (adj.mf) 
accidentally	accidentalmente (adv) 
accident	siniestro (n.m) 
acclaim	aclamar (vblex) 
acclamation	aclamación (n.f) 
acclimate	aclimatar (vblex) 
acclimatisation	aclimatación (n.f) 
acclimatise	ambientar (vblex) 
accommodate	acomodar (vblex) 
accommodation	alojamiento (n.m) 
accommodation	hospedaje (n.m) 
accompaniment	acompañamiento (n.m) 
accompany	acompañar (vblex) 
accompanying	acompañante (adj) 
accomplish	cumplir (vblex) 
accord	acuerdo (n.m) 
accordingly	consiguientemente (adv) 
according	según (pr) 
according_to	conforme_a (pr) 
according_to	según (pr) 
accountability	imputabilidad (n.f) 
accountancy	contabilidad (n.f) 
accountant	contable (n.mf) 
account	cuenta (n.f) 
accounting	contabilidad (n.f) 
account_number	número#_de_cuenta (n.m) 
account	relación (n.f) 
